Absorption_Lines_(A),Closest_NIST_Wavelength_(A),Corresponding_Ion,Blue_end,Red_end,Profile
6464.327525,6464.353,Ca I,6463.3,6465.17,Lorentzian
6473.417387,6473.45,Ca I,6472.7,6474.4,Lorentzian
6495.554334,6495.576,Ca I,6494.5,6497.7,Lorentzian
6501.411809,6501.446,Ca I,6500.2,6502.8,Voigt
6556.009749,6556.0336,Ti I,6555.4,6556.7,Gaussian
6557.85123,6557.8729,Ti I,6557,6558.3,Gaussian
6574.561686,6574.595,Ca I,6573.7,6575.4,Gaussian
6594.720022,6594.7331,Fe I,6593,6597,Voigt
6595.660352,6595.6904,Fe I,6593,6597,Gaussian
6600.890941,6600.9285,Ti I,6600.2,6601.8,Gaussian
6665.244809,6665.2807,Fe I,6664.41,6665.9,Gaussian
6679.819932,6679.8286,Fe I,6678.3,6680.6,Voigt
6719.509716,6719.536,Ca I,6718.3,6720.8,Lorentzian
7150.102726,7150,Ca I,7149,7151.7,Lorentzian
7204.152139,7204,Ca I,7203,7206.4,Lorentzian
7211.40052,7211.4228,Ti I,7210.75,7212.25,Gaussian
7246.819636,7246.851,Ti I,7245.66,7247.69,Gaussian
7253.676213,7253.7078,Ti I,7252.17,7255,Gaussian
7328.138634,7328,Ca I,7327,7329.5,Lorentzian
7346.690572,7346.7186,Ti I,7346.13,7347.64,Gaussian
7359.737657,7359.7538,Ti I,7358.66,7360.35,Gaussian
7366.124069,7366.1298,Ti I,7365.3,7367,Gaussian
7666.383353,7666.4029,Fe I,7664,7669.4,Voigt
8185.504562,8185.5053,Na I,8184.05,8187,Voigt
8437.258464,8437.272,Ti I,8434,8440,Voigt
8437.963712,8437.97,Ti I,8434,8440,Voigt
8470.738148,8470.7329,Fe I,8468.35,8472,Voigt
8516.402948,8516.4106,Fe I,8515,8518.5,Voigt
8677.121104,8677.1284,Fe I,8675,8679,Voigt
8677.747991,8677.755,Ti I,8675,8679,Voigt
8685.368586,8685.368,Ti I,8684,8687,Gaussian
8690.990978,8691.0097,Fe I,8688,8694,Lorentzian
8826.633654,8826.6426,Fe I,8824,8830,Lorentzian
